,lat,long,leisure_points_in_0.001,shop_points_in_0.001,amenity_points_in_0.001,crossing_points_in_0.001,natural_points_in_0.001,sport_points_in_0.001,building_points_in_0.001,historic_points_in_0.001,tourism_points_in_0.001,office_points_in_0.001,bus_points_in_0.001,healthcare_points_in_0.001,hotel_points_in_0.001,parking_points_in_0.001,catering_points_in_0.001,study_points_in_0.001
0,53.737219,91.413928,1,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0
7,53.7421535,91.413259,0,2,1,2,2,0,4,0,0,0,0,0,0,0,1,0
9,53.7426906,91.4132214,0,2,3,2,2,0,4,0,0,0,0,0,0,2,1,0
18,53.741225,91.413698,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0
20,53.7436096,91.41371939999999,0,1,2,2,2,0,12,0,0,0,0,0,0,2,0,0
29,53.7175644,91.4293172,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
50,53.729425,91.43966499999999,7,1,12,0,1,2,28,0,0,2,0,0,0,9,0,2
57,53.697233,91.41119049999999,5,0,3,0,3,2,14,0,0,0,1,0,0,2,0,0
59,53.6980332,91.4097803,3,2,4,0,2,0,12,0,0,0,0,0,0,2,0,2
60,53.6975884,91.4097829,3,1,4,0,2,0,14,0,0,0,0,0,0,2,0,2
62,53.69713640000001,91.4103961,3,0,2,0,1,2,14,0,0,0,0,0,0,2,0,0
65,53.6995973,91.4089094,6,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0
67,53.69932859999999,91.40794580000001,2,0,2,0,0,2,16,0,0,0,0,0,0,2,0,0
68,53.6979652,91.4083508,4,2,4,0,0,0,14,0,0,0,0,0,0,2,0,2
71,53.6999544,91.40790559999999,4,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0
72,53.6993047,91.40659339999999,0,0,2,0,2,0,16,0,0,0,0,0,0,0,0,2
73,53.6957132,91.4062747,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0
74,53.6949533,91.4066813,0,0,2,2,6,0,16,0,0,0,0,0,0,2,0,0
78,53.693964,91.404749,4,2,4,0,11,1,14,0,0,0,0,0,0,4,0,0
81,53.69445,91.4028997,4,2,4,0,4,1,20,0,0,0,0,0,0,2,0,0
82,53.693408,91.4030856,0,2,2,0,2,0,18,0,0,0,0,0,0,2,0,0
85,53.6965336,91.40046269999999,5,0,4,0,3,2,28,0,0,0,0,0,0,2,0,0
86,53.6966607,91.3993096,5,0,4,0,10,2,20,0,0,0,0,0,0,2,0,0
88,53.6971085,91.3994769,7,0,2,0,11,2,22,0,0,0,0,0,0,2,0,0
89,53.6971892,91.40228499999999,6,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0
93,53.6792787,91.36970869999999,0,2,2,0,0,0,14,0,0,0,0,0,0,0,2,0
108,53.6825436,91.52330959999999,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0
109,53.7384277,91.4597546,0,0,2,0,6,0,46,0,0,0,0,0,0,0,0,0
110,53.7386192,91.45942439999999,0,0,0,0,6,0,46,0,0,0,0,0,0,0,0,0
111,53.7259392,91.43747019999999,6,1,5,0,2,0,16,0,0,0,0,1,0,2,0,0
112,53.72473460000001,91.4317588,0,0,0,0,4,0,13,0,0,0,1,0,0,0,0,0
116,53.7246529,91.43025949999999,2,0,0,1,4,0,17,0,0,0,0,0,0,0,0,0
118,53.7246403,91.4199929,2,2,14,0,0,0,8,0,0,0,0,0,0,14,0,0
119,53.7305755,91.44630010000002,4,0,0,0,7,0,42,0,0,0,0,0,0,0,0,0
122,53.7298737,91.4401802,2,3,9,0,4,0,24,0,0,2,0,0,0,2,0,2
123,53.71043969999999,91.5130246,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0
151,53.7236384,91.46967049999999,2,0,2,0,6,0,50,0,0,0,0,0,0,2,0,0
152,53.7165194,91.4462525,0,1,0,0,10,0,24,0,2,1,0,0,2,0,0,0
153,53.7159548,91.4431618,1,0,1,0,10,0,22,0,0,0,0,0,0,1,0,0
156,53.71523389999999,91.43637419999999,0,0,2,0,12,0,24,0,0,0,0,0,0,0,0,2
158,53.7154233,91.4408796,2,0,2,2,7,0,8,2,0,0,2,0,0,1,0,0
162,53.715758,91.415921,5,1,11,0,11,0,16,0,0,0,0,0,0,0,0,0
164,53.7164081,91.4160544,5,0,10,1,9,0,8,0,0,0,0,0,0,0,0,0
165,53.7191744,91.41417039999999,3,1,0,5,6,0,20,0,0,0,0,0,0,0,0,0
168,53.7193686,91.4143308,4,1,0,5,4,0,24,0,0,0,0,0,0,0,0,0
172,53.7185571,91.44900179999999,8,0,1,5,28,0,18,0,0,0,0,0,0,0,0,0
173,53.7237587,91.446319,6,1,3,0,24,0,24,0,0,0,0,0,0,2,1,0
174,53.72595,91.44561499999999,5,0,1,0,25,1,38,0,0,0,0,1,0,0,0,0
175,53.7265572,91.4461611,4,0,3,0,15,2,32,0,0,1,0,1,0,2,0,0
178,53.72727889999999,91.4460462,8,0,3,3,8,2,22,1,0,1,0,1,0,2,0,0
181,53.7302312,91.4451431,4,0,0,0,4,0,32,0,0,0,0,0,0,0,0,0
184,53.725564,91.446671,0,0,3,7,19,0,32,0,0,0,0,1,0,0,2,0
186,53.71098629999999,91.43842719999999,2,0,0,0,27,0,42,0,0,0,0,0,0,0,0,0
187,53.7101167,91.4321389,0,0,2,0,6,0,38,0,0,0,0,0,0,0,0,2
188,53.709957,91.431315,0,1,3,0,5,0,38,0,0,0,0,0,0,0,0,2
189,53.708633,91.4251817,0,0,0,2,2,0,90,0,0,0,0,0,0,0,0,0
192,53.730448,91.41208,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
193,53.7157628,91.4636714,0,0,0,0,6,0,38,0,0,0,0,0,0,0,0,0
195,53.714821,91.46317619999999,0,1,1,0,0,0,32,0,0,0,0,0,0,0,0,0
196,53.7145977,91.4640078,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0
197,53.7137657,91.46412389999999,0,4,4,0,2,0,22,0,0,0,0,0,0,2,0,2
199,53.7132871,91.4643287,0,6,4,0,2,0,16,0,0,0,0,0,0,2,0,2
200,53.7136401,91.46399129999999,0,4,4,0,2,0,24,0,0,0,0,0,0,2,0,2
202,53.7058133,91.4219133,0,0,0,6,0,0,54,0,0,0,0,0,0,0,0,0
203,53.7140587,91.44958,0,0,0,0,13,0,52,0,0,0,0,0,0,0,0,0
204,53.71496610000001,91.45230629999999,2,0,0,0,8,0,36,0,0,0,0,0,0,0,0,0
205,53.7176035,91.4358335,6,0,2,0,18,0,12,0,0,0,0,0,0,0,0,2
208,53.71523209999999,91.41408109999999,2,0,0,0,13,0,24,0,0,0,0,0,0,0,0,0
209,53.7145873,91.4096639,2,0,6,2,35,0,22,0,0,0,1,0,0,4,0,0
225,53.7146339,91.4080188,6,0,2,0,32,2,24,0,0,0,0,0,0,0,0,0
226,53.71515369999999,91.41112210000001,3,0,0,0,15,0,36,0,0,0,0,0,0,0,0,0
234,53.7357044,91.4363146,2,0,2,0,14,0,9,0,1,1,0,0,0,2,0,0
238,53.7363933,91.4358916,2,0,0,3,25,0,12,0,1,0,0,0,0,0,0,0
240,53.736833,91.4373334,4,0,6,0,30,2,10,0,0,0,3,0,0,2,0,2
244,53.7373906,91.433263,3,0,0,0,27,0,10,0,0,0,0,0,0,0,0,0
245,53.7460203,91.41557739999999,4,0,2,3,19,0,4,0,0,0,0,0,0,0,0,0
248,53.7383452,91.43588629999999,0,0,7,0,18,0,19,0,2,0,0,0,2,0,2,2
251,53.7389696,91.43589709999999,0,0,8,0,18,0,17,0,2,0,0,0,2,0,1,6
254,53.7373876,91.43214110000001,6,0,7,0,13,0,12,0,2,0,0,0,2,2,0,4
256,53.7386705,91.43456499999999,0,0,5,0,24,0,17,0,2,0,0,0,2,2,2,0
260,53.7379918,91.43081989999999,5,1,5,5,9,0,10,0,0,0,0,0,0,2,0,2
264,53.7386324,91.4331835,0,0,1,0,30,0,10,0,0,0,0,0,0,0,0,0
265,53.7383855,91.429597,0,1,5,3,8,0,6,0,0,0,0,1,0,0,0,4
267,53.7393984,91.4287987,2,0,2,0,32,0,10,0,0,0,0,0,0,0,0,2
271,53.7402338,91.4269691,2,1,5,1,21,0,8,0,0,0,0,0,0,0,0,0
272,53.74063280000001,91.4259403,3,0,6,0,22,0,10,0,0,0,0,0,0,0,0,2
274,53.74266,91.42043199999999,10,0,10,0,41,2,10,0,0,0,0,0,0,10,0,0
275,53.741615,91.4195287,5,0,9,0,2,0,14,0,0,0,0,0,0,8,0,0
299,53.7431543,91.42320989999999,0,0,0,0,26,0,10,0,0,0,0,0,0,0,0,0
300,53.74383820000001,91.41849719999999,0,0,2,2,13,0,6,0,0,0,1,0,0,2,0,0
305,53.7435249,91.42117449999999,0,2,4,0,71,0,8,0,0,0,0,0,0,4,0,0
323,53.744178,91.42249369999999,5,0,2,0,29,3,6,0,1,0,0,0,0,0,0,2
325,53.7437357,91.42160890000001,2,2,2,0,67,2,8,0,0,0,0,0,0,2,0,0
328,53.74330519999999,91.41905969999999,0,0,2,3,6,0,6,0,0,0,1,0,0,2,0,0
329,53.744121,91.41982639999999,0,5,2,5,27,0,10,0,0,0,2,0,0,2,0,0
332,53.74554930000001,91.4177424,3,0,4,0,16,0,8,0,0,0,1,0,0,4,0,0
344,53.74126769999999,91.4258396,3,0,0,2,25,0,4,0,0,0,2,0,0,0,0,0
374,53.6968421,91.4226585,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
375,53.7028431,91.39508029999999,0,0,4,0,0,0,10,0,0,0,0,1,0,0,0,3
376,53.70242589999999,91.39444590000001,0,0,5,0,5,0,18,0,0,0,0,0,0,2,0,3
379,53.7018138,91.3967782,0,0,1,2,3,0,18,0,0,0,0,0,0,0,0,1
381,53.70331090000001,91.3957404,0,0,3,0,3,0,14,0,0,0,0,1,0,0,0,2
383,53.7182243,91.4763286,6,0,9,0,4,0,18,0,0,0,0,0,0,7,0,0
387,53.7174247,91.4754849,4,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0
390,53.72550099999999,91.43136899999999,2,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0
394,53.717988,91.434519,8,0,2,0,16,2,18,0,1,0,0,0,0,0,0,2
398,53.732929,91.4280309,9,0,3,4,4,0,10,1,0,0,0,0,0,2,0,0
399,53.7205786,91.4337388,10,0,2,7,17,0,20,0,0,1,0,0,0,0,1,0
400,53.721697,91.433368,6,0,3,4,16,0,18,3,0,0,0,1,0,0,0,0
409,53.723324,91.43302299999999,6,1,0,5,21,0,12,0,1,0,0,0,0,0,0,0
411,53.724629,91.432729,4,0,0,3,13,0,24,0,0,1,0,0,0,0,0,0
418,53.72548099999999,91.432464,2,0,0,3,4,0,15,0,0,1,0,0,0,0,0,0
425,53.7220026,91.4015187,0,1,2,4,0,0,34,0,0,0,0,0,0,0,0,2
428,53.7180107,91.44168619999999,4,1,1,2,16,0,18,0,0,0,0,0,0,0,0,1
430,53.718799,91.4415609,2,0,2,0,15,0,22,0,0,0,0,0,0,0,1,1
433,53.718517,91.440135,4,0,5,0,18,2,16,0,0,0,0,0,0,0,0,4
434,53.72288,91.44037499999999,12,1,4,0,12,2,18,0,1,0,0,0,0,0,1,2
436,53.723206,91.4395651,8,1,1,0,23,0,24,0,0,0,0,0,0,0,1,0
440,53.7284537,91.4384826,8,0,14,0,1,2,34,0,0,0,0,0,0,12,0,0
441,53.729282,91.43827399999999,6,0,12,2,2,2,20,0,0,3,0,0,0,9,1,2
445,53.7286893,91.4375343,3,0,11,2,0,0,20,0,0,1,0,0,0,8,1,2
446,53.729816,91.437243,4,3,17,5,6,0,22,0,0,1,0,1,0,8,2,2
458,53.7395137,91.4328053,2,0,3,0,21,0,10,0,0,0,0,0,0,2,0,0
460,53.735995,91.42515499999999,1,0,2,0,0,0,28,0,0,0,0,0,0,0,0,2
462,53.736112,91.424884,1,0,2,0,0,0,22,0,0,0,0,0,0,0,0,2
463,53.739194,91.43388829999999,0,0,1,0,22,0,18,0,0,1,0,0,0,0,0,0
464,53.7362069,91.42610719999999,1,0,2,0,4,0,18,0,1,0,0,0,0,0,0,0
466,53.7402455,91.4337444,2,0,3,3,29,0,18,0,2,1,0,0,0,2,0,0
467,53.739462,91.43507579999999,0,0,5,0,22,0,23,0,0,0,0,0,0,0,1,2
468,53.7405839,91.43557369999999,0,0,2,0,18,0,16,0,0,1,0,0,0,0,0,2
470,53.74427,91.435451,0,3,4,2,7,0,26,0,0,0,0,0,0,0,0,2
473,53.7415522,91.4354017,0,0,4,2,20,0,18,0,0,1,0,0,0,4,0,0
476,53.7409081,91.4368155,2,0,5,0,20,0,6,0,0,0,0,0,0,0,0,4
477,53.74080379999999,91.43464,0,0,6,3,28,0,18,0,0,2,0,0,0,6,0,0
485,53.7265218,91.4362088,4,2,8,0,2,0,20,0,2,0,0,1,2,2,0,2
486,53.72622399999999,91.4331622,0,0,6,1,3,0,14,0,0,0,0,0,0,4,0,2
491,53.72594700000001,91.43088399999999,2,1,2,4,0,0,17,0,0,0,0,0,0,2,0,0
493,53.725902,91.4298699,2,0,2,2,0,0,18,0,0,0,0,0,0,2,0,0
500,53.7276483,91.4365552,1,0,3,0,0,0,12,0,2,0,0,0,2,2,1,0
501,53.7274375,91.43747139999999,3,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0
505,53.7277156,91.4379072,3,0,2,3,1,0,14,0,0,0,0,0,0,2,0,0
506,53.72689219999999,91.4353762,2,2,10,0,3,0,22,0,2,0,0,0,2,2,2,2
516,53.7267603,91.42811499999999,2,0,23,2,2,0,10,0,0,0,0,0,0,20,0,2
532,53.7263094,91.4282921,2,0,21,3,2,0,14,0,0,0,0,0,0,18,0,2
536,53.7266494,91.42654530000002,4,1,12,2,2,0,18,0,0,0,0,0,0,10,0,2
538,53.7254441,91.4248003,0,0,4,0,2,0,18,0,0,0,0,0,0,4,0,0
543,53.7262504,91.4244538,2,0,4,0,0,2,18,0,0,0,0,0,0,4,0,0
545,53.7259341,91.4255129,0,0,6,2,1,0,24,0,0,0,0,0,0,6,0,0
621,53.7235759,91.40459949999999,1,0,2,0,0,1,12,0,0,0,0,0,0,0,0,2
622,53.7258879,91.42513939999999,0,0,2,0,0,0,16,0,0,0,0,0,0,2,0,0
648,53.7274085,91.4352387,0,0,4,0,0,0,26,0,2,0,0,0,2,2,2,0
649,53.7298046,91.4336805,0,0,3,1,4,0,13,0,0,0,0,1,0,0,0,2
651,53.7373944,91.4393462,0,0,3,0,20,0,16,0,0,0,0,0,0,2,0,0
652,53.73979569999999,91.4435371,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0
653,53.740886,91.4385229,2,0,2,0,10,0,6,0,0,0,0,0,0,0,0,2
656,53.740328,91.4397429,3,0,2,1,13,0,14,0,0,0,0,0,0,0,0,2
669,53.7385677,91.4393715,0,3,1,0,16,0,14,0,0,0,0,0,0,0,1,0
674,53.74592000000001,91.4394993,4,0,2,0,1,0,42,0,0,0,0,0,0,2,0,0
676,53.7386716,91.4388259,0,3,1,0,18,0,14,0,0,0,0,0,0,0,1,0
677,53.7403658,91.44382759999999,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0
691,53.7395867,91.4392211,2,2,3,1,18,0,16,0,0,0,0,0,0,0,1,2
692,53.7417087,91.43897559999999,3,0,2,1,6,2,8,0,0,0,0,0,0,0,0,2
694,53.7419112,91.43799109999999,2,0,4,0,8,2,16,0,0,0,0,0,0,0,0,2
699,53.7422747,91.4394903,3,0,0,1,5,2,12,0,0,0,0,0,0,0,0,0
700,53.7452294,91.439146,2,0,12,0,6,0,16,0,0,0,0,0,0,10,0,0
708,53.744198,91.439815,2,0,10,0,2,0,72,0,0,1,0,0,0,8,0,0
726,53.7456214,91.4396156,4,0,8,0,1,0,42,0,0,0,0,0,0,8,0,0
754,53.6997434,91.42247789999999,4,0,3,1,10,2,34,0,0,0,0,0,0,0,0,1
755,53.6992163,91.4229494,0,0,1,0,5,0,30,0,0,0,0,0,0,0,0,1
757,53.7010824,91.4234242,0,0,0,0,3,0,64,0,0,0,0,0,0,0,0,0
759,53.7067158,91.40444629999999,1,0,2,0,6,0,24,0,0,0,0,0,0,2,0,0
761,53.7056559,91.4039257,0,0,2,0,20,0,18,0,0,0,0,0,0,2,0,0
762,53.70543319999999,91.4029456,0,0,0,0,22,0,12,0,0,0,0,0,0,0,0,0
764,53.7065572,91.4035213,2,0,6,0,23,0,16,0,0,0,0,0,0,4,0,0
765,53.7066526,91.4026093,1,0,4,0,20,0,24,0,0,0,0,0,0,2,0,0
767,53.7060165,91.4022932,1,0,0,0,15,0,18,0,0,0,0,0,0,0,0,0
770,53.7050991,91.39957489999999,5,0,1,0,2,2,10,0,0,0,0,0,0,0,0,1
773,53.7050903,91.4011002,5,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0
778,53.7064652,91.40062069999999,0,0,0,1,0,0,30,0,0,1,0,0,0,0,0,0
783,53.7170796,91.4777715,0,2,8,0,12,0,20,0,0,1,0,1,0,6,0,0
789,53.7173058,91.4747568,2,0,0,0,4,0,26,0,0,0,0,0,0,0,0,0
791,53.7185315,91.46191019999999,0,3,2,2,18,0,18,0,0,0,0,0,0,0,0,2
793,53.7348053,91.44125249999999,2,1,4,3,13,0,22,0,0,0,0,0,0,2,0,2
795,53.73657679999999,91.457111,0,0,8,2,2,0,20,0,0,0,1,0,0,8,0,0
801,53.7365375,91.4565985,4,0,24,1,0,0,24,0,0,0,1,0,0,24,0,0
812,53.7365875,91.4550345,2,0,16,0,2,0,32,0,0,0,0,0,0,14,0,2
814,53.7323861,91.4264712,10,1,3,2,28,2,14,0,0,0,0,0,0,0,0,2
819,53.7309559,91.4255804,0,0,7,0,11,0,18,0,0,1,0,0,0,5,0,2
820,53.732155,91.42452089999999,5,0,10,0,10,3,16,0,0,0,0,0,0,9,0,0
823,53.7319166,91.4231824,4,0,2,0,15,2,22,0,0,0,0,0,0,2,0,0
833,53.731696,91.420841,5,1,3,0,13,2,8,0,0,0,0,0,0,2,0,1
834,53.7310272,91.4195661,4,0,1,0,15,0,18,0,0,0,0,0,0,0,0,1
836,53.7311773,91.4212058,5,1,3,0,3,2,16,0,0,0,0,0,0,2,0,1
837,53.7302054,91.4173816,2,0,4,2,0,0,10,0,0,0,0,0,0,4,0,0
843,53.7351031,91.4349297,3,0,2,0,13,0,15,0,0,0,0,0,0,2,0,0
844,53.7314191,91.417052,4,0,8,2,8,0,10,0,0,0,0,0,0,8,0,0
865,53.7350704,91.43092209999999,1,0,4,0,19,0,5,0,0,0,0,0,0,0,0,4
867,53.7355043,91.4279603,1,0,5,7,39,0,9,0,0,0,1,0,0,2,1,2
869,53.73461100000001,91.425934,1,0,0,1,28,0,30,0,0,0,0,0,0,0,0,0
870,53.7347914,91.423515,1,0,0,0,4,0,24,0,0,0,0,0,0,0,0,0
