,lat,long,leisure_points_in_0.005,shop_points_in_0.005,amenity_points_in_0.005,crossing_points_in_0.005,natural_points_in_0.005,sport_points_in_0.005,building_points_in_0.005,historic_points_in_0.005,tourism_points_in_0.005,office_points_in_0.005,bus_points_in_0.005,healthcare_points_in_0.005,hotel_points_in_0.005,parking_points_in_0.005,catering_points_in_0.005,study_points_in_0.005
0,53.737219,91.413928,9,1,18,13,110,0,144,0,2,0,0,0,2,8,2,2
7,53.7421535,91.413259,5,2,13,8,81,0,68,0,2,0,0,0,2,6,1,2
9,53.7426906,91.4132214,7,2,13,8,82,0,66,0,2,0,0,0,2,6,1,2
18,53.741225,91.413698,6,2,12,6,50,0,80,0,2,0,0,0,2,6,2,2
20,53.7436096,91.41371939999999,8,2,11,8,101,0,64,1,2,0,1,0,2,6,1,0
29,53.7175644,91.4293172,47,14,42,35,77,18,283,8,1,2,3,0,0,18,0,9
50,53.729425,91.43966499999999,64,20,75,31,116,9,422,0,8,5,4,2,2,40,3,12
57,53.697233,91.41119049999999,21,4,26,10,95,8,492,0,1,0,3,1,0,14,0,4
59,53.6980332,91.4097803,24,4,25,11,60,8,402,0,1,0,2,0,0,14,0,4
60,53.6975884,91.4097829,26,4,27,13,69,10,412,0,1,0,2,0,0,16,0,4
62,53.69713640000001,91.4103961,21,4,22,14,93,8,456,0,1,0,3,0,0,12,0,4
65,53.6995973,91.4089094,26,6,24,18,51,10,370,0,1,0,1,0,0,14,0,4
67,53.69932859999999,91.40794580000001,30,11,30,17,66,12,310,0,1,0,1,0,0,16,0,8
68,53.6979652,91.4083508,31,7,33,20,64,11,342,0,1,0,1,0,0,19,0,6
71,53.6999544,91.40790559999999,29,15,30,17,60,12,316,0,1,0,2,0,0,16,0,6
72,53.6993047,91.40659339999999,41,14,44,19,95,13,300,1,1,0,1,0,0,23,0,12
73,53.6957132,91.4062747,33,11,38,19,65,8,464,0,0,0,0,0,0,21,0,8
74,53.6949533,91.4066813,29,8,41,19,61,8,566,0,0,0,1,0,0,23,0,10
78,53.693964,91.404749,23,5,37,17,58,4,608,0,0,0,0,0,0,19,0,10
81,53.69445,91.4028997,29,6,25,16,60,7,482,1,0,0,0,0,0,11,0,8
82,53.693408,91.4030856,24,4,17,7,33,7,630,1,0,0,0,0,0,9,0,4
85,53.6965336,91.40046269999999,37,7,37,11,80,7,230,2,0,0,0,0,0,21,1,10
86,53.6966607,91.3993096,33,4,43,2,86,5,212,2,0,0,0,0,0,29,1,8
88,53.6971085,91.3994769,34,4,49,5,101,5,218,2,0,0,0,0,0,33,1,10
89,53.6971892,91.40228499999999,38,8,38,14,82,8,248,2,0,0,0,0,0,17,1,14
93,53.6792787,91.36970869999999,0,7,13,18,10,0,166,0,1,0,1,0,0,4,4,0
108,53.6825436,91.52330959999999,2,0,0,0,15,1,190,0,0,0,0,0,0,0,0,0
109,53.7384277,91.4597546,10,1,34,4,76,2,426,0,0,1,4,0,0,28,0,2
110,53.7386192,91.45942439999999,10,1,34,4,76,2,436,0,0,1,4,0,0,28,0,2
111,53.7259392,91.43747019999999,94,15,93,25,265,14,437,0,4,5,1,2,2,40,14,18
112,53.72473460000001,91.4317588,45,6,71,31,151,4,403,7,3,3,2,1,2,38,4,13
116,53.7246529,91.43025949999999,36,5,60,30,117,4,397,7,1,2,3,1,0,34,2,13
118,53.7246403,91.4199929,20,13,50,29,40,6,328,0,0,0,0,0,0,42,0,2
119,53.7305755,91.44630010000002,51,4,16,13,76,11,674,2,0,1,1,1,0,12,0,1
122,53.7298737,91.4401802,57,19,68,27,107,9,464,0,8,6,4,1,2,38,3,12
123,53.71043969999999,91.5130246,4,0,4,3,57,1,260,0,0,0,0,0,0,2,0,0
151,53.7236384,91.46967049999999,43,7,25,16,71,16,500,0,4,1,2,1,2,10,0,7
152,53.7165194,91.4462525,40,7,35,16,256,5,548,0,2,6,4,0,2,5,1,12
153,53.7159548,91.4431618,36,6,33,13,201,7,449,3,3,3,5,0,2,6,2,10
156,53.71523389999999,91.43637419999999,46,3,32,20,155,11,357,4,4,2,4,1,0,11,1,11
158,53.7154233,91.4408796,32,4,25,9,180,6,405,2,5,2,6,0,2,4,2,10
162,53.715758,91.415921,35,3,19,23,133,2,399,0,0,0,1,0,0,0,0,5
164,53.7164081,91.4160544,37,3,19,23,137,2,407,0,0,0,1,0,0,0,0,5
165,53.7191744,91.41417039999999,25,6,18,25,118,0,584,0,0,0,0,1,0,2,0,3
168,53.7193686,91.4143308,24,4,18,23,115,0,608,0,0,0,0,1,0,2,0,3
172,53.7185571,91.44900179999999,49,17,48,27,216,7,465,1,9,10,0,0,8,10,3,15
173,53.7237587,91.446319,83,8,73,51,314,20,340,3,5,7,2,2,4,24,9,12
174,53.72595,91.44561499999999,75,10,55,49,224,21,428,2,5,6,4,2,4,17,9,9
175,53.7265572,91.4461611,75,10,48,43,204,21,472,2,5,6,4,2,4,15,8,7
178,53.72727889999999,91.4460462,76,4,46,40,192,21,510,2,3,5,4,2,2,21,6,6
181,53.7302312,91.4451431,55,10,32,23,92,11,644,2,1,3,2,1,0,17,0,7
184,53.725564,91.446671,80,9,57,46,223,28,399,2,5,7,2,2,4,20,9,9
186,53.71098629999999,91.43842719999999,10,0,5,5,136,0,454,1,2,1,2,0,0,1,0,3
187,53.7101167,91.4321389,2,4,11,23,34,0,606,0,1,2,0,0,1,2,0,5
188,53.709957,91.431315,0,4,9,25,25,0,688,0,1,2,0,0,1,2,0,3
189,53.708633,91.4251817,0,1,3,34,17,0,1366,0,1,0,0,0,1,2,0,0
192,53.730448,91.41208,10,2,40,2,38,0,117,0,0,0,0,0,0,22,2,2
193,53.7157628,91.4636714,9,19,18,12,114,3,626,0,0,0,2,2,0,2,0,10
195,53.714821,91.46317619999999,9,17,13,14,106,3,620,0,0,0,1,0,0,2,0,8
196,53.7145977,91.4640078,9,17,13,12,100,3,622,0,0,0,0,0,0,2,0,8
197,53.7137657,91.46412389999999,9,15,13,10,78,3,634,0,0,0,0,0,0,2,0,8
199,53.7132871,91.4643287,11,15,11,10,76,7,624,0,0,0,0,0,0,2,0,8
200,53.7136401,91.46399129999999,11,15,13,10,78,7,640,0,0,0,0,0,0,2,0,8
202,53.7058133,91.4219133,0,0,2,18,12,0,1427,0,0,0,0,0,0,0,0,2
203,53.7140587,91.44958,13,6,13,13,176,0,764,0,3,6,1,0,2,0,1,11
204,53.71496610000001,91.45230629999999,18,12,15,17,160,2,752,1,3,5,0,0,2,0,3,7
205,53.7176035,91.4358335,80,4,43,25,178,15,298,9,4,3,4,2,0,10,8,11
208,53.71523209999999,91.41408109999999,30,5,27,18,164,0,453,0,0,0,1,1,0,6,0,3
209,53.7145873,91.4096639,24,8,15,5,229,5,398,0,0,7,3,1,0,10,1,0
225,53.7146339,91.4080188,27,9,15,8,238,10,364,0,0,7,5,1,0,10,1,0
226,53.71515369999999,91.41112210000001,22,9,20,12,241,3,418,0,0,4,2,1,0,10,0,0
234,53.7357044,91.4363146,26,9,56,12,282,4,198,0,9,4,5,0,5,18,3,20
238,53.7363933,91.4358916,28,9,51,12,301,4,201,0,8,5,5,0,5,16,3,16
240,53.736833,91.4373334,25,9,45,11,293,4,221,0,9,7,5,0,5,14,3,16
244,53.7373906,91.433263,37,5,54,24,351,7,183,0,8,3,6,1,4,18,2,17
245,53.7460203,91.41557739999999,14,6,20,12,94,1,72,1,0,0,3,0,0,14,1,0
248,53.7383452,91.43588629999999,37,8,59,27,317,6,223,0,9,4,6,0,5,22,4,14
251,53.7389696,91.43589709999999,39,11,63,27,307,8,234,0,9,4,6,0,5,24,4,14
254,53.7373876,91.43214110000001,36,6,57,32,400,7,181,0,8,3,3,2,4,23,3,15
256,53.7386705,91.43456499999999,37,11,56,27,314,7,225,0,8,4,7,1,4,18,4,14
260,53.7379918,91.43081989999999,36,7,46,33,407,7,170,1,8,1,4,2,4,15,3,9
