,id,price,floor,max_floor,year,type,total_square,kitchen_square,living_square,room_square,planning,rooms,toilet,view,balcony,renovation,ceiling,elevator,building,overlap,inside,parking,apartment,source,consultant,name,address,description
0,260253607,3950000,2,7,2017.0,Вторичка,42.3,7.0,30.0,,,2,1 совмещенный,,1 балкон,Евроремонт,"2,5 м",Есть,Кирпичный,Железобетонные,nan Подъезды:8 Отопление:Центральное Аварийность:Нет,,,Елена Игоревна Глушкова,Жилфонд,"2-комн. квартира, 42,3 м²","Хакасия респ., Абакан, ул. Авиаторов, 2","ФЕДЕРАЛЬНЫМ АГЕНТСТВОМ НЕДВИЖИМОСТИ ЖИЛФОНД предлагается к продаже прекрасная евродвушка в новом микрорайоне с Мега развитой инфраструктурой.
В квартире сделан отличный ремонт- натяжные матовые потолки, на полу ламинат, хорошие межкомнатные двери. 
Балкон остеклен. Санузел совмещен и выложен кафельной плиткой.
В квартире остается отличного качества кухонный гарнитур с сварочной панелью, духовым шкафом и вытяжкой, в ванной комнате тумба с раковиной, в спальне встроенный шкаф-купе.
В микрорайоне расположенны современные детские сады и школы. Физкультурно оздоровительный комплекс Тепсей, торговые центры - все в шаговой доступности. 
АГЕНТСТВО НЕДВИЖИМОСТИ ЖИЛФОНД предлагает ВАМ принцип работы под ключ- вы сможете получить комплекс услуг сразу нескольких
специалистов- юриста, риэлтора, ипотечного брокера. 
Сопровождение на всех этапах сделки, является гарантией безопасности наших клиентов.
	
	При звонке, пожалуйста, сообщите номер варианта - 
   
	JV002019100936"
1,259790896,3900000,2,7,2017.0,Вторичка,47.0,7.0,38.0,,,2,,На улицу,1 балкон,Косметический,,8 всего,Кирпичный,Железобетонные,nan Подъезды:8 Отопление:Центральное Аварийность:Нет,,,Алена Суханова,ID 15142775,"2-комн. квартира, 47 м²","Хакасия респ., Абакан, ул. Авиаторов, 2","Предлагаю вашему вниманию замечательную 2 комнатную квартиру площадью 47м2 в хорошем районе города. Удачная планировка,которая позволяет рационально использовать пространство. Это тот уникальный случай, когда квартира готова к вашему переезду. Выполнен хороший ремонт. В квартире также имеется балкон, застеклен. Окна расположены на улицу. Санузел совмещен. Квартира очень чистая, теплая и светлая. Уютный двор. Рядом расположен лучший детский сад города, новая школа на Лермонтова, парк, спортивные площадки, магазины, центры дополнительного образования для детей, кафе, спортивный комплекс ""Тепсей"" с бассейном, торговые центры, супермаркеты, кофейни, Преображенский парк и т.д.

						Поможем оформить ипотеку по низкой процентной ставке, маткапитал. Юридическое сопровождение сделки."
2,244981575,5000000,1,7,2017.0,Вторичка,69.0,9.0,38.0,,,3,1 совмещенный,,1 балкон,Евроремонт,"2,5 м",Есть,Кирпичный,Железобетонные,nan Подъезды:8 Отопление:Центральное Аварийность:Нет,,,Светлана Валериевна Вахрамеева,Жилфонд,"3-комн. квартира, 69 м²","Хакасия респ., Абакан, ул. Авиаторов, 2","Федеральное агентство ЖИЛФОНД предлагает уютную,светлую квартиру в одном из лучших районов города Абакана.Квартира в новом доме,с отличным ремонтом,с технологией Умный дом.Во дворе современная детская площадка.Рядом есть все необходимое для комфортного проживания семьи и воспитания детей.В шаговой доступности развитая инфраструктура-школы,лицей,детские сады,множество магазинов,салонов красоты,детских центров,ФОК Тепсей,детская поликлиника.Приобретая квартиру через АН ЖИЛФОНД ,вы получаете выгодную ставку по ипотеке от банка-партнера с экономиейна процентах по выплатам.Звоните отвечу на все ваши вопросы.
	
	При звонке, пожалуйста, сообщите номер варианта - 
   
	JV003019100280"
3,257762863,3750000,1,7,2017.0,Вторичка,42.4,14.3,17.7,,,1,,На улицу,1 лоджия,Евроремонт,,Есть,Кирпичный,Железобетонные,nan Подъезды:8 Отопление:Центральное Аварийность:Нет,,,ID 68460620,Собственник,"1-комн. квартира, 42,4 м²","Хакасия респ., Абакан, ул. Авиаторов, 2","В продаже 2 комнатная квартира по ул. Авиаторов 2, S- 42.4 кв.м., кухня 14.3 кв.м., большая лоджия на два окна. В квартире сделан евро ремонт, приобретали от застройщика. Многоквартирный жилой дом со встроено- пристороеными стоянкой для авто и помещениями. В доме 8 подьездов, 7 этажей. Дом сдан в 2017 году, застройщик Строительная компания Транстрой, также Транстрой создал свою управляющую компанию ООО "" Эксплуатация"", где все сложные инженерные системы под контролем  квалифицированных специаслистов. Развитая инфраструктура,  две новые школы им. Н.Г. Булакина, в сентябре 2021 года откроет свои двери еще одна школа, рядом  детские сады, Супермаркеты, Спортивный комплекс ""ТЕПСЕЙ"", парки, все есть для достойной жизни."
4,256174089,5500000,2,7,2017.0,Вторичка,68.0,8.4,,,,3,,,1 балкон,Евроремонт,,"1 пасс., 1 груз.",Кирпичный,Железобетонные,nan Подъезды:8 Отопление:Центральное Аварийность:Нет Мусоропровод:Нет,,,ID 72567525,Собственник,"3-комн. квартира, 68 м²","Хакасия респ., Абакан, ул. Авиаторов, 2","Продам уютную 3-х комнатную квартиру в комплексе Цвета жизни на 2 этаже, не торцевая. Комнаты не проходные, на разные стороны, удобная планировка. Качественный дорогой ремонт, натяжные потолки, санузел раздельный, в ванной и туалете тёплый пол, на радиаторах отопления установлены терморегуляторы, что позволяет поддерживать в квартире комфортную температуру и экономить на оплате отопления, хорошая вентиляция, окна не запотевают, большой балкон выходит во двор. Чистый подъезд, во дворе две игровые площадки, камеры видеонаблюдения, парковочные места. Умный дом - показания подаются автоматически, потребление отображается в личном кабинете. В квартире остаются встроенные шкафы в коридоре, в туалете, в двух комнатах, остальная мебель по договорённости. Управляющая компания Эксплуатация, застройщик Трансстрой, квартиру приобретали в долевое. Собственник."
5,261184018,3600000,7,7,2017.0,Вторичка,49.0,,,,Изолированная,2,,На улицу и двор,1 лоджия,Косметический,,Есть,Кирпичный,Железобетонные,nan Подъезды:8 Отопление:Центральное Аварийность:Нет,,,ID 54920608,Собственник,"2-комн. квартира, 49 м²","Хакасия респ., Абакан, ул. Авиаторов, 2","В квартире сделан косметический ремонт, окна пвх, потолок натяжной, линолеум. Индивидуальные счетчики отопления (сколько тепла потратили, столько и заплатили), двор под камерами, высокое качество постройки. Школа детский сад в шаговой доступности. Рядом магазины, супермаркет, остановка за домом."
6,255379115,4900000,1,7,2017.0,Вторичка,66.1,,,,Изолированная,3,1 совмещенный,На улицу и двор,1 лоджия,Евроремонт,,Есть,Кирпичный,Железобетонные,nan Подъезды:8 Отопление:Центральное Аварийность:Нет,,,олеся,Собственник,"3-комн. квартира, 66,1 м²","Хакасия респ., Абакан, ул. Авиаторов, 2","Продам!!! Замечательную, 3-х комнатную квартиру на 1-м этаже в жилом комплексе "" Цвета жизни"", застройщик Транстрой (окна расположены не низко).
Квартира состоит из 3 комнат ( кухня-гостинная, двух спален), совмещенного санузла, а также лоджия размером 6 кв.м.
В квартире выполнен качественный дорогой ремонт. Кухонный гарнитур и встроенный шкаф в коридоре- остаются.
На радиаторах отопления установлены терморегуляторы, за счёт этого выходит не дорогая коммунальная плат!!!
В комплексе расположен прекрасный двор с тремя детскими площадками, в шаговой доступности находится садик, новая школа, парк, магазины, автобусная остановка.
Звоните!!!"
7,257179425,4000000,4,5,,Вторичка,38.0,8.0,21.0,,,1,,,,,,,,,nan Аварийность:Нет,,,Елена Ивановна Готлиб,Жилфонд,"1-комн. квартира, 38 м²","Хакасия респ., Абакан, ул. Авиаторов, 4","Федеральное Агентство Недвижимость Жилфонд предлагает приобрести 1-ю квартиру на 4-ом этаже в кирпичном доме.
Общая площадь 38 кв. м., балкон просторный выход с кухни, застеклен. Санузел совмещен, Ремонт свежий, косметический.
Квартира теплая, уютная и светлая. 
В шаговой вся инфраструктура.

По всем вопросам звоните!
	
	При звонке, пожалуйста, сообщите номер варианта - 
   
	JV001019101947"
8,254721095,4853000,1,5,,Вторичка,62.0,12.0,,,Изолированная,2,1 раздельный,На улицу,1 лоджия,Евроремонт,,,,,nan Аварийность:Нет,,,ID 52831583,Собственник,"2-комн. квартира, 62 м²","Хакасия респ., Абакан, ул. Авиаторов, 4","Продам отличную двухкомнатную квартиру в самом престижном районе города!
Возможно как под жилое, так и под нежилое!
Застройщик Жилстрой!
Был салон красоты! В каждом кабинете выведены выходы под мойку и проведена хорошая система вентиляции!
Сделан качественный ремонт!
Квартира заряжена денежной энергетикой!
Поможем сделать проект на перевод в нежилое и получить разрешение!
Огромный плюс в том, что её возможно приобрести в ипотеку!
Поможем с оформлением ипотечного кредита на приобретение данного помещения!
Реальном покупателю возможен торг!"
9,258412532,3700000,1,5,,Вторичка,42.6,11.3,17.7,,,1,,,,,,,Кирпичный,,,,,Татьяна Юрьевна Пономаренко,Жилфонд,"1-комн. квартира, 42,6 м²","Хакасия респ., Абакан, ул. Авиаторов, 6","Не пропустите!! очень качественный кирпичный дом!!!

1-комнатная квартира с современным ремонтом.

общая площадь 42,6 кв.м. плюс тёплая просторная лоджия, площадь которой (6 кв.м.) не входит в общую площадь.
новый перспективный , очень востребованный и респектабельный район.
закрытый двор. новая школа, детский сад- всё рядом.
в перспективе,в минуте хотьбы, парковая зона с обустроенной набережной.
красивый тихий район!!
ждём вас на просмотр. увидев, вы убедитесь в правильности своего выбора.
звоните. подходит любая форма расчёта. проведём сделку юридически грамотно и безопасно.
	
	При звонке, пожалуйста, сообщите номер варианта - 
   
	JV001019102228"
